Omega_RF_MHz,resolved,number_of_peaks,delta_left_MHz,delta_right_MHz,separation_MHz,valley_position_MHz,reason
10.7500,True,2,-5.4000,5.4000,10.8000,0.0000,resolved
10.8750,True,2,-5.4000,5.4000,10.8000,0.0000,resolved
11.0000,True,2,-5.5000,5.5000,11.0000,0.0000,resolved
11.1250,True,2,-5.6000,5.6000,11.2000,0.0000,resolved
11.2500,True,2,-5.6000,5.6000,11.2000,0.0000,resolved
11.3750,True,2,-5.7000,5.7000,11.4000,0.0000,resolved
11.5000,True,2,-5.8000,5.8000,11.6000,0.0000,resolved
11.6250,True,2,-5.8000,5.8000,11.6000,0.0000,resolved
11.7500,True,2,-5.9000,5.9000,11.8000,0.0000,resolved
11.8750,True,2,-5.9000,5.9000,11.8000,0.0000,resolved
12.0000,True,2,-6.0000,6.0000,12.0000,0.0000,resolved
12.1250,True,2,-6.1000,6.1000,12.2000,0.0000,resolved
12.2500,True,2,-6.1000,6.1000,12.2000,0.0000,resolved
12.3750,True,2,-6.2000,6.2000,12.4000,0.0000,resolved
12.5000,True,2,-6.3000,6.3000,12.6000,0.0000,resolved
12.6250,True,2,-6.3000,6.3000,12.6000,0.0000,resolved
12.7500,True,2,-6.4000,6.4000,12.8000,0.0000,resolved
12.8750,True,2,-6.4000,6.4000,12.8000,0.0000,resolved
13.0000,True,2,-6.5000,6.5000,13.0000,0.0000,resolved
13.1250,True,2,-6.6000,6.6000,13.2000,0.0000,resolved
13.2500,True,2,-6.6000,6.6000,13.2000,0.0000,resolved
13.3750,True,2,-6.7000,6.7000,13.4000,0.0000,resolved
13.5000,True,2,-6.8000,6.8000,13.6000,0.0000,resolved
13.6250,True,2,-6.8000,6.8000,13.6000,0.0000,resolved
13.7500,True,2,-6.9000,6.9000,13.8000,0.0000,resolved
13.8750,True,2,-6.9000,6.9000,13.8000,0.0000,resolved
14.0000,True,2,-7.0000,7.0000,14.0000,0.0000,resolved
14.1250,True,2,-7.1000,7.1000,14.2000,0.0000,resolved
14.2500,True,2,-7.1000,7.1000,14.2000,0.0000,resolved
14.3750,True,2,-7.2000,7.2000,14.4000,0.0000,resolved
14.5000,True,2,-7.3000,7.3000,14.6000,0.0000,resolved
14.6250,True,2,-7.3000,7.3000,14.6000,0.0000,resolved
14.7500,True,2,-7.4000,7.4000,14.8000,0.0000,resolved
14.8750,True,2,-7.4000,7.4000,14.8000,0.0000,resolved
15.0000,True,2,-7.5000,7.5000,15.0000,0.0000,resolved
15.1250,True,2,-7.6000,7.6000,15.2000,0.0000,resolved
15.2500,True,2,-7.6000,7.6000,15.2000,0.0000,resolved
15.3750,True,2,-7.7000,7.7000,15.4000,0.0000,resolved
15.5000,True,2,-7.8000,7.8000,15.6000,0.0000,resolved
15.6250,True,2,-7.8000,7.8000,15.6000,0.0000,resolved
15.7500,True,2,-7.9000,7.9000,15.8000,0.0000,resolved
15.8750,True,2,-7.9000,7.9000,15.8000,0.0000,resolved
16.0000,True,2,-8.0000,8.0000,16.0000,0.0000,resolved
16.1250,True,2,-8.1000,8.1000,16.2000,0.0000,resolved
16.2500,True,2,-8.1000,8.1000,16.2000,0.0000,resolved
16.3750,True,2,-8.2000,8.2000,16.4000,0.0000,resolved
16.5000,True,2,-8.3000,8.3000,16.6000,0.0000,resolved
16.6250,True,2,-8.3000,8.3000,16.6000,0.0000,resolved
16.7500,True,2,-8.4000,8.4000,16.8000,0.0000,resolved
16.8750,True,2,-8.4000,8.4000,16.8000,0.0000,resolved
17.0000,True,2,-8.5000,8.5000,17.0000,0.0000,resolved
17.1250,True,2,-8.6000,8.6000,17.2000,0.0000,resolved
17.2500,True,2,-8.6000,8.6000,17.2000,0.0000,resolved
17.3750,True,2,-8.7000,8.7000,17.4000,0.0000,resolved
17.5000,True,2,-8.8000,8.8000,17.6000,0.0000,resolved
17.6250,True,2,-8.8000,8.8000,17.6000,0.0000,resolved
17.7500,True,2,-8.9000,8.9000,17.8000,0.0000,resolved
17.8750,True,2,-8.9000,8.9000,17.8000,0.0000,resolved
18.0000,True,2,-9.0000,9.0000,18.0000,0.0000,resolved
18.1250,True,2,-9.1000,9.1000,18.2000,0.0000,resolved
18.2500,True,2,-9.1000,9.1000,18.2000,0.0000,resolved
18.3750,True,2,-9.2000,9.2000,18.4000,0.0000,resolved
18.5000,True,2,-9.3000,9.3000,18.6000,0.0000,resolved
18.6250,True,2,-9.3000,9.3000,18.6000,0.0000,resolved
18.7500,True,2,-9.4000,9.4000,18.8000,0.0000,resolved
18.8750,True,2,-9.4000,9.4000,18.8000,0.0000,resolved
19.0000,True,2,-9.5000,9.5000,19.0000,0.0000,resolved
19.1250,True,2,-9.6000,9.6000,19.2000,0.0000,resolved
19.2500,True,2,-9.6000,9.6000,19.2000,0.0000,resolved
19.3750,True,2,-9.7000,9.7000,19.4000,0.0000,resolved
19.5000,True,2,-9.8000,9.8000,19.6000,0.0000,resolved
19.6250,True,2,-9.8000,9.8000,19.6000,0.0000,resolved
19.7500,True,2,-9.9000,9.9000,19.8000,0.0000,resolved
19.8750,True,2,-9.9000,9.9000,19.8000,0.0000,resolved
20.0000,False,0,nan,nan,nan,nan,single_peak
