Omega_RF_MHz,n_peaks,left_MHz,right_MHz,separation_MHz,valley_position_MHz,valley_height_uW,contrast,separation_over_measured_HWHM
10.0000,2,-5.0000,5.0000,10.0000,0.0000,30.7466,0.6839,4.0161
10.1250,2,-5.1000,5.1000,10.2000,0.0000,30.6816,0.6905,4.0964
10.2500,2,-5.1000,5.1000,10.2000,0.0000,30.6178,0.6971,4.0964
10.3750,2,-5.2000,5.2000,10.4000,0.0000,30.5553,0.7036,4.1767
10.5000,2,-5.3000,5.3000,10.6000,0.0000,30.4941,0.7098,4.2570
10.6250,2,-5.3000,5.3000,10.6000,0.0000,30.4342,0.7160,4.2570
10.7500,2,-5.4000,5.4000,10.8000,0.0000,30.3755,0.7221,4.3373
10.8750,2,-5.4000,5.4000,10.8000,0.0000,30.3179,0.7279,4.3373
11.0000,2,-5.5000,5.5000,11.0000,0.0000,30.2616,0.7338,4.4177
11.1250,2,-5.6000,5.6000,11.2000,0.0000,30.2063,0.7395,4.4980
11.2500,2,-5.6000,5.6000,11.2000,0.0000,30.1523,0.7450,4.4980
11.3750,2,-5.7000,5.7000,11.4000,0.0000,30.0993,0.7505,4.5783
11.5000,2,-5.8000,5.8000,11.6000,0.0000,30.0474,0.7558,4.6586
11.6250,2,-5.8000,5.8000,11.6000,0.0000,29.9965,0.7611,4.6586
11.7500,2,-5.9000,5.9000,11.8000,0.0000,29.9467,0.7662,4.7389
11.8750,2,-5.9000,5.9000,11.8000,0.0000,29.8979,0.7712,4.7389
12.0000,2,-6.0000,6.0000,12.0000,0.0000,29.8501,0.7761,4.8193
12.1250,2,-6.1000,6.1000,12.2000,0.0000,29.8033,0.7809,4.8996
12.2500,2,-6.1000,6.1000,12.2000,0.0000,29.7574,0.7856,4.8996
12.3750,2,-6.2000,6.2000,12.4000,0.0000,29.7124,0.7903,4.9799
12.5000,2,-6.3000,6.3000,12.6000,0.0000,29.6684,0.7948,5.0602
12.6250,2,-6.3000,6.3000,12.6000,0.0000,29.6252,0.7992,5.0602
12.7500,2,-6.4000,6.4000,12.8000,0.0000,29.5829,0.8036,5.1406
12.8750,2,-6.4000,6.4000,12.8000,0.0000,29.5415,0.8078,5.1406
13.0000,2,-6.5000,6.5000,13.0000,0.0000,29.5009,0.8120,5.2209
13.1250,2,-6.6000,6.6000,13.2000,0.0000,29.4611,0.8161,5.3012
13.2500,2,-6.6000,6.6000,13.2000,0.0000,29.4221,0.8201,5.3012
13.3750,2,-6.7000,6.7000,13.4000,0.0000,29.3839,0.8240,5.3815
13.5000,2,-6.8000,6.8000,13.6000,0.0000,29.3465,0.8278,5.4618
13.6250,2,-6.8000,6.8000,13.6000,0.0000,29.3098,0.8316,5.4618
13.7500,2,-6.9000,6.9000,13.8000,0.0000,29.2738,0.8353,5.5422
13.8750,2,-6.9000,6.9000,13.8000,0.0000,29.2385,0.8389,5.5422
14.0000,2,-7.0000,7.0000,14.0000,0.0000,29.2039,0.8425,5.6225
14.1250,2,-7.1000,7.1000,14.2000,0.0000,29.1700,0.8460,5.7028
14.2500,2,-7.1000,7.1000,14.2000,0.0000,29.1368,0.8494,5.7028
14.3750,2,-7.2000,7.2000,14.4000,0.0000,29.1042,0.8527,5.7831
14.5000,2,-7.3000,7.3000,14.6000,0.0000,29.0723,0.8560,5.8634
14.6250,2,-7.3000,7.3000,14.6000,0.0000,29.0410,0.8592,5.8634
14.7500,2,-7.4000,7.4000,14.8000,0.0000,29.0103,0.8623,5.9438
14.8750,2,-7.4000,7.4000,14.8000,0.0000,28.9802,0.8654,5.9438
15.0000,2,-7.5000,7.5000,15.0000,0.0000,28.9506,0.8685,6.0241
15.1250,2,-7.6000,7.6000,15.2000,0.0000,28.9217,0.8714,6.1044
15.2500,2,-7.6000,7.6000,15.2000,0.0000,28.8933,0.8743,6.1044
15.3750,2,-7.7000,7.7000,15.4000,0.0000,28.8654,0.8772,6.1847
15.5000,2,-7.8000,7.8000,15.6000,0.0000,28.8381,0.8800,6.2651
15.6250,2,-7.8000,7.8000,15.6000,0.0000,28.8113,0.8827,6.2651
15.7500,2,-7.9000,7.9000,15.8000,0.0000,28.7850,0.8854,6.3454
15.8750,2,-7.9000,7.9000,15.8000,0.0000,28.7592,0.8880,6.3454
16.0000,2,-8.0000,8.0000,16.0000,0.0000,28.7339,0.8907,6.4257
16.1250,2,-8.1000,8.1000,16.2000,0.0000,28.7090,0.8932,6.5060
16.2500,2,-8.1000,8.1000,16.2000,0.0000,28.6847,0.8957,6.5060
16.3750,2,-8.2000,8.2000,16.4000,0.0000,28.6608,0.8981,6.5863
16.5000,2,-8.3000,8.3000,16.6000,0.0000,28.6373,0.9005,6.6667
16.6250,2,-8.3000,8.3000,16.6000,0.0000,28.6143,0.9029,6.6667
16.7500,2,-8.4000,8.4000,16.8000,0.0000,28.5917,0.9052,6.7470
16.8750,2,-8.4000,8.4000,16.8000,0.0000,28.5695,0.9074,6.7470
17.0000,2,-8.5000,8.5000,17.0000,0.0000,28.5477,0.9097,6.8273
17.1250,2,-8.6000,8.6000,17.2000,0.0000,28.5263,0.9119,6.9076
17.2500,2,-8.6000,8.6000,17.2000,0.0000,28.5053,0.9140,6.9076
17.3750,2,-8.7000,8.7000,17.4000,0.0000,28.4847,0.9161,6.9879
17.5000,2,-8.8000,8.8000,17.6000,0.0000,28.4645,0.9182,7.0683
17.6250,2,-8.8000,8.8000,17.6000,0.0000,28.4446,0.9202,7.0683
17.7500,2,-8.9000,8.9000,17.8000,0.0000,28.4251,0.9222,7.1486
17.8750,2,-8.9000,8.9000,17.8000,0.0000,28.4060,0.9241,7.1486
18.0000,2,-9.0000,9.0000,18.0000,0.0000,28.3872,0.9261,7.2289
18.1250,2,-9.1000,9.1000,18.2000,0.0000,28.3687,0.9279,7.3092
18.2500,2,-9.1000,9.1000,18.2000,0.0000,28.3506,0.9298,7.3092
18.3750,2,-9.2000,9.2000,18.4000,0.0000,28.3328,0.9316,7.3895
18.5000,2,-9.3000,9.3000,18.6000,0.0000,28.3153,0.9334,7.4699
18.6250,2,-9.3000,9.3000,18.6000,0.0000,28.2981,0.9352,7.4699
18.7500,2,-9.4000,9.4000,18.8000,0.0000,28.2812,0.9369,7.5502
