"# Panel (a) Conventional -- SNR_dB, then SER for log2M=2,4,6,8"
SNR_dB,SER_log2M2,SER_log2M4,SER_log2M6,SER_log2M8
-62.3293,7.496948e-01,9.373976e-01,9.843459e-01,9.960860e-01
-61.8293,7.496767e-01,9.373916e-01,9.843441e-01,9.960855e-01
-61.3293,7.496576e-01,9.373851e-01,9.843423e-01,9.960850e-01
-60.8293,7.496373e-01,9.373783e-01,9.843404e-01,9.960845e-01
-60.3293,7.496158e-01,9.373711e-01,9.843383e-01,9.960840e-01
-59.8293,7.495930e-01,9.373635e-01,9.843361e-01,9.960834e-01
-59.3293,7.495688e-01,9.373554e-01,9.843338e-01,9.960828e-01
-58.8293,7.495433e-01,9.373468e-01,9.843314e-01,9.960821e-01
-58.3293,7.495162e-01,9.373377e-01,9.843288e-01,9.960814e-01
-57.8293,7.494875e-01,9.373281e-01,9.843261e-01,9.960807e-01
-57.3293,7.494571e-01,9.373179e-01,9.843232e-01,9.960799e-01
-56.8293,7.494250e-01,9.373071e-01,9.843201e-01,9.960791e-01
-56.3293,7.493909e-01,9.372956e-01,9.843168e-01,9.960783e-01
-55.8293,7.493548e-01,9.372835e-01,9.843134e-01,9.960773e-01
-55.3293,7.493165e-01,9.372707e-01,9.843097e-01,9.960764e-01
-54.8293,7.492760e-01,9.372571e-01,9.843058e-01,9.960753e-01
-54.3293,7.492330e-01,9.372427e-01,9.843017e-01,9.960742e-01
-53.8293,7.491875e-01,9.372274e-01,9.842974e-01,9.960731e-01
-53.3293,7.491394e-01,9.372112e-01,9.842928e-01,9.960719e-01
-52.8293,7.490883e-01,9.371941e-01,9.842879e-01,9.960706e-01
-52.3293,7.490343e-01,9.371760e-01,9.842828e-01,9.960692e-01
-51.8293,7.489770e-01,9.371567e-01,9.842773e-01,9.960677e-01
-51.3293,7.489163e-01,9.371364e-01,9.842715e-01,9.960662e-01
-50.8293,7.488520e-01,9.371148e-01,9.842653e-01,9.960645e-01
-50.3293,7.487839e-01,9.370919e-01,9.842588e-01,9.960628e-01
-49.8293,7.487117e-01,9.370677e-01,9.842519e-01,9.960610e-01
-49.3293,7.486353e-01,9.370421e-01,9.842446e-01,9.960590e-01
-48.8293,7.485543e-01,9.370149e-01,9.842369e-01,9.960570e-01
-48.3293,7.484685e-01,9.369861e-01,9.842287e-01,9.960548e-01
-47.8293,7.483776e-01,9.369555e-01,9.842200e-01,9.960525e-01
-47.3293,7.482813e-01,9.369232e-01,9.842108e-01,9.960500e-01
-46.8293,7.481793e-01,9.368889e-01,9.842010e-01,9.960474e-01
-46.3293,7.480712e-01,9.368526e-01,9.841907e-01,9.960447e-01
-45.8293,7.479567e-01,9.368142e-01,9.841797e-01,9.960417e-01
-45.3293,7.478354e-01,9.367734e-01,9.841681e-01,9.960386e-01
-44.8293,7.477068e-01,9.367302e-01,9.841558e-01,9.960354e-01
-44.3293,7.475706e-01,9.366845e-01,9.841428e-01,9.960319e-01
-43.8293,7.474263e-01,9.366360e-01,9.841290e-01,9.960282e-01
-43.3293,7.472734e-01,9.365846e-01,9.841143e-01,9.960243e-01
-42.8293,7.471114e-01,9.365302e-01,9.840988e-01,9.960202e-01
-42.3293,7.469397e-01,9.364725e-01,9.840824e-01,9.960158e-01
-41.8293,7.467578e-01,9.364113e-01,9.840649e-01,9.960112e-01
-41.3293,7.465650e-01,9.363465e-01,9.840465e-01,9.960062e-01
-40.8293,7.463608e-01,9.362778e-01,9.840269e-01,9.960010e-01
-40.3293,7.461443e-01,9.362051e-01,9.840061e-01,9.959955e-01
-39.8293,7.459149e-01,9.361279e-01,9.839842e-01,9.959896e-01
-39.3293,7.456718e-01,9.360461e-01,9.839608e-01,9.959834e-01
-38.8293,7.454142e-01,9.359595e-01,9.839361e-01,9.959768e-01
-38.3293,7.451412e-01,9.358676e-01,9.839099e-01,9.959699e-01
-37.8293,7.448518e-01,9.357702e-01,9.838822e-01,9.959625e-01
-37.3293,7.445452e-01,9.356670e-01,9.838527e-01,9.959546e-01
-36.8293,7.442201e-01,9.355575e-01,9.838215e-01,9.959463e-01
-36.3293,7.438756e-01,9.354415e-01,9.837884e-01,9.959375e-01
-35.8293,7.435104e-01,9.353185e-01,9.837533e-01,9.959281e-01
-35.3293,7.431233e-01,9.351880e-01,9.837161e-01,9.959182e-01
-34.8293,7.427129e-01,9.350497e-01,9.836766e-01,9.959077e-01
-34.3293,7.422779e-01,9.349031e-01,9.836348e-01,9.958965e-01
-33.8293,7.418167e-01,9.347475e-01,9.835904e-01,9.958847e-01
-33.3293,7.413278e-01,9.345826e-01,9.835433e-01,9.958721e-01
-32.8293,7.408094e-01,9.344076e-01,9.834933e-01,9.958588e-01
-32.3293,7.402597e-01,9.342221e-01,9.834403e-01,9.958446e-01
-31.8293,7.396768e-01,9.340252e-01,9.833841e-01,9.958296e-01
-31.3293,7.390587e-01,9.338164e-01,9.833244e-01,9.958137e-01
-30.8293,7.384033e-01,9.335948e-01,9.832611e-01,9.957968e-01
-30.3293,7.377081e-01,9.333597e-01,9.831939e-01,9.957789e-01
-29.8293,7.369707e-01,9.331103e-01,9.831225e-01,9.957598e-01
-29.3293,7.361886e-01,9.328455e-01,9.830468e-01,9.957396e-01
-28.8293,7.353589e-01,9.325645e-01,9.829664e-01,9.957181e-01
-28.3293,7.344787e-01,9.322662e-01,9.828811e-01,9.956954e-01
-27.8293,7.335448e-01,9.319495e-01,9.827904e-01,9.956711e-01
-27.3293,7.325540e-01,9.316132e-01,9.826941e-01,9.956454e-01
-26.8293,7.315025e-01,9.312561e-01,9.825918e-01,9.956181e-01
-26.3293,7.303865e-01,9.308769e-01,9.824831e-01,9.955890e-01
-25.8293,7.292021e-01,9.304741e-01,9.823676e-01,9.955582e-01
-25.3293,7.279449e-01,9.300461e-01,9.822449e-01,9.955254e-01
-24.8293,7.266102e-01,9.295913e-01,9.821144e-01,9.954905e-01
-24.3293,7.251932e-01,9.291081e-01,9.819757e-01,9.954534e-01
-23.8293,7.236885e-01,9.285944e-01,9.818282e-01,9.954139e-01
-23.3293,7.220905e-01,9.280482e-01,9.816712e-01,9.953719e-01
-22.8293,7.203933e-01,9.274675e-01,9.815043e-01,9.953272e-01
-22.3293,7.185905e-01,9.268498e-01,9.813266e-01,9.952796e-01
-21.8293,7.166751e-01,9.261928e-01,9.811374e-01,9.952290e-01
-21.3293,7.146399e-01,9.254936e-01,9.809361e-01,9.951750e-01
-20.8293,7.124771e-01,9.247495e-01,9.807216e-01,9.951176e-01
-20.3293,7.101784e-01,9.239574e-01,9.804931e-01,9.950563e-01
-19.8293,7.077348e-01,9.231138e-01,9.802496e-01,9.949910e-01
-19.3293,7.051367e-01,9.222154e-01,9.799901e-01,9.949214e-01
-18.8293,7.023741e-01,9.212581e-01,9.797133e-01,9.948471e-01
-18.3293,6.994359e-01,9.202379e-01,9.794181e-01,9.947678e-01
-17.8293,6.963105e-01,9.191502e-01,9.791031e-01,9.946832e-01
-17.3293,6.929855e-01,9.179903e-01,9.787668e-01,9.945928e-01
-16.8293,6.894475e-01,9.167529e-01,9.784077e-01,9.944962e-01
-16.3293,6.856823e-01,9.154324e-01,9.780240e-01,9.943930e-01
-15.8293,6.816746e-01,9.140227e-01,9.776139e-01,9.942826e-01
-15.3293,6.774083e-01,9.125172e-01,9.771755e-01,9.941645e-01
-14.8293,6.728658e-01,9.109088e-01,9.767064e-01,9.940381e-01
-14.3293,6.680288e-01,9.091898e-01,9.762044e-01,9.939027e-01
-13.8293,6.628775e-01,9.073518e-01,9.756669e-01,9.937577e-01
-13.3293,6.573909e-01,9.053858e-01,9.750911e-01,9.936022e-01
-12.8293,6.515466e-01,9.032818e-01,9.744738e-01,9.934354e-01
-12.3293,6.453209e-01,9.010294e-01,9.738119e-01,9.932564e-01
-11.8293,6.386887e-01,8.986168e-01,9.731016e-01,9.930642e-01
-11.3293,6.316235e-01,8.960316e-01,9.723389e-01,9.928576e-01
-10.8293,6.240971e-01,8.932600e-01,9.715197e-01,9.926355e-01
-10.3293,6.160803e-01,8.902874e-01,9.706390e-01,9.923965e-01
-9.8293,6.075422e-01,8.870974e-01,9.696918e-01,9.921393e-01
-9.3293,5.984508e-01,8.836728e-01,9.686724e-01,9.918621e-01
-8.8293,5.887729e-01,8.799944e-01,9.675745e-01,9.915634e-01
-8.3293,5.784743e-01,8.760417e-01,9.663913e-01,9.912410e-01
-7.8293,5.675204e-01,8.717921e-01,9.651155e-01,9.908930e-01
-7.3293,5.558762e-01,8.672214e-01,9.637387e-01,9.905171e-01
-6.8293,5.435068e-01,8.623032e-01,9.622521e-01,9.901106e-01
-6.3293,5.303783e-01,8.570087e-01,9.606458e-01,9.896708e-01
-5.8293,5.164585e-01,8.513072e-01,9.589089e-01,9.891946e-01
-5.3293,5.017176e-01,8.451649e-01,9.570295e-01,9.886785e-01
-4.8293,4.861295e-01,8.385458e-01,9.549946e-01,9.881189e-01
-4.3293,4.696735e-01,8.314108e-01,9.527898e-01,9.875115e-01
-3.8293,4.523354e-01,8.237179e-01,9.503993e-01,9.868518e-01
-3.3293,4.341098e-01,8.154222e-01,9.478058e-01,9.861347e-01
-2.8293,4.150020e-01,8.064755e-01,9.449902e-01,9.853545e-01
-2.3293,3.950304e-01,7.968267e-01,9.419315e-01,9.845052e-01
-1.8293,3.742293e-01,7.864215e-01,9.386067e-01,9.835798e-01
-1.3293,3.526514e-01,7.752027e-01,9.349906e-01,9.825707e-01
-0.8293,3.303704e-01,7.631103e-01,9.310554e-01,9.814696e-01
-0.3293,3.074840e-01,7.500824e-01,9.267709e-01,9.802671e-01
0.1707,2.841157e-01,7.360550e-01,9.221036e-01,9.789531e-01
0.6707,2.604163e-01,7.209634e-01,9.170174e-01,9.775160e-01
1.1707,2.365650e-01,7.047429e-01,9.114725e-01,9.759432e-01
1.6707,2.127677e-01,6.873302e-01,9.054256e-01,9.742208e-01
2.1707,1.892555e-01,6.686653e-01,8.988296e-01,9.723334e-01
2.6707,1.662792e-01,6.486932e-01,8.916336e-01,9.702637e-01
3.1707,1.441027e-01,6.273669e-01,8.837821e-01,9.679929e-01
3.6707,1.229930e-01,6.046500e-01,8.752159e-01,9.655000e-01
4.1707,1.032090e-01,5.805205e-01,8.658709e-01,9.627619e-01
4.6707,8.498720e-02,5.549748e-01,8.556789e-01,9.597529e-01
5.1707,6.852748e-02,5.280321e-01,8.445675e-01,9.564449e-01
5.6707,5.397868e-02,4.997393e-01,8.324602e-01,9.528067e-01
6.1707,4.142658e-02,4.701758e-01,8.192771e-01,9.488039e-01
6.6707,3.088555e-02,4.394588e-01,8.049356e-01,9.443990e-01
7.1707,2.229568e-02,4.077475e-01,7.893510e-01,9.395505e-01
7.6707,1.552655e-02,3.752466e-01,7.724385e-01,9.342129e-01
8.1707,1.038782e-02,3.422086e-01,7.541140e-01,9.283367e-01
8.6707,6.645928e-03,3.089334e-01,7.342974e-01,9.218677e-01
9.1707,4.044896e-03,2.757655e-01,7.129142e-01,9.147470e-01
9.6707,2.328284e-03,2.430874e-01,6.898999e-01,9.069107e-01
10.1707,1.259158e-03,2.113090e-01,6.652033e-01,8.982900e-01
10.6707,6.350671e-04,1.808528e-01,6.387913e-01,8.888108e-01
11.1707,2.962323e-04,1.521346e-01,6.106543e-01,8.783941e-01
11.6707,1.266033e-04,1.255417e-01,5.808123e-01,8.669558e-01
12.1707,4.905450e-05,1.014087e-01,5.493206e-01,8.544077e-01
