delta_c_MHz,R_qutip,Pout_microW
15.6000,0.0000,0.000001
15.8000,0.0000,0.000000
16.0000,0.0000,0.000000
16.2000,0.0000,0.000000
16.4000,0.0000,0.000000
16.6000,0.0000,0.000000
16.8000,0.0000,0.000000
17.0000,0.0000,0.000000
17.2000,0.0000,0.000000
17.4000,0.0000,0.000000
17.6000,0.0000,0.000000
17.8000,0.0000,0.000000
18.0000,0.0000,0.000000
18.2000,0.0000,0.000000
18.4000,0.0000,0.000000
18.6000,0.0000,0.000000
18.8000,0.0000,0.000000
19.0000,0.0000,0.000000
19.2000,0.0000,0.000000
19.4000,0.0000,0.000000
19.6000,0.0000,0.000000
19.8000,0.0000,0.000000
20.0000,0.0000,0.000000
-20.0000,0.1022,0.000000
-19.8000,0.1022,0.000000
-19.6000,0.1022,0.000000
-19.4000,0.1022,0.000001
-19.2000,0.1022,0.000001
-19.0000,0.1022,0.000001
-18.8000,0.1022,0.000001
-18.6000,0.1022,0.000001
-18.4000,0.1022,0.000001
-18.2000,0.1022,0.000001
-18.0000,0.1022,0.000001
-17.8000,0.1022,0.000001
-17.6000,0.1022,0.000001
-17.4000,0.1022,0.000001
-17.2000,0.1022,0.000001
-17.0000,0.1022,0.000001
-16.8000,0.1022,0.000001
-16.6000,0.1022,0.000001
-16.4000,0.1022,0.000001
-16.2000,0.1022,0.000001
-16.0000,0.1022,0.000001
-15.8000,0.1022,0.000001
-15.6000,0.1022,0.000001
-15.4000,0.1022,0.000001
-15.2000,0.1022,0.000001
-15.0000,0.1022,0.000001
-14.8000,0.1022,0.000001
-14.6000,0.1022,0.000001
-14.4000,0.1022,0.000001
-14.2000,0.1022,0.000001
-14.0000,0.1022,0.000001
-13.8000,0.1022,0.000001
-13.6000,0.1022,0.000001
-13.4000,0.1022,0.000001
-13.2000,0.1022,0.000001
-13.0000,0.1022,0.000001
-12.8000,0.1022,0.000001
-12.6000,0.1022,0.000001
-12.4000,0.1022,0.000001
-12.2000,0.1022,0.000001
-12.0000,0.1022,0.000001
-11.8000,0.1022,0.000001
-11.6000,0.1022,0.000001
-11.4000,0.1022,0.000001
-11.2000,0.1022,0.000001
-11.0000,0.1022,0.000002
-10.8000,0.1022,0.000002
-10.6000,0.1022,0.000002
-10.4000,0.1022,0.000002
-10.2000,0.1022,0.000002
-10.0000,0.1022,0.000002
-9.8000,0.1022,0.000002
-9.6000,0.1022,0.000003
-9.4000,0.1022,0.000003
-9.2000,0.1022,0.000003
