Omega_RF_MHz,resolved,delta_left_MHz,delta_right_MHz,separation_MHz,reason
15.3750,True,-7.6000,7.6000,15.2000,resolved
15.5000,True,-7.8000,7.8000,15.6000,resolved
15.6250,True,-7.8000,7.8000,15.6000,resolved
15.7500,True,-7.8000,7.8000,15.6000,resolved
15.8750,True,-8.0000,8.0000,16.0000,resolved
16.0000,True,-8.0000,8.0000,16.0000,resolved
16.1250,True,-8.0000,8.0000,16.0000,resolved
16.2500,True,-8.2000,8.2000,16.4000,resolved
16.3750,True,-8.2000,8.2000,16.4000,resolved
16.5000,True,-8.2000,8.2000,16.4000,resolved
16.6250,True,-8.4000,8.4000,16.8000,resolved
16.7500,True,-8.4000,8.4000,16.8000,resolved
16.8750,True,-8.4000,8.4000,16.8000,resolved
17.0000,True,-8.6000,8.6000,17.2000,resolved
17.1250,True,-8.6000,8.6000,17.2000,resolved
17.2500,True,-8.6000,8.6000,17.2000,resolved
17.3750,True,-8.6000,8.6000,17.2000,resolved
17.5000,True,-8.8000,8.8000,17.6000,resolved
17.6250,True,-8.8000,8.8000,17.6000,resolved
17.7500,True,-8.8000,8.8000,17.6000,resolved
17.8750,True,-9.0000,9.0000,18.0000,resolved
18.0000,True,-9.0000,9.0000,18.0000,resolved
18.1250,True,-9.0000,9.0000,18.0000,resolved
18.2500,True,-9.2000,9.2000,18.4000,resolved
18.3750,True,-9.2000,9.2000,18.4000,resolved
18.5000,True,-9.2000,9.2000,18.4000,resolved
18.6250,True,-9.4000,9.4000,18.8000,resolved
18.7500,True,-9.4000,9.4000,18.8000,resolved
18.8750,True,-9.4000,9.4000,18.8000,resolved
19.0000,True,-9.6000,9.6000,19.2000,resolved
19.1250,True,-9.6000,9.6000,19.2000,resolved
19.2500,True,-9.6000,9.6000,19.2000,resolved
19.3750,True,-9.6000,9.6000,19.2000,resolved
19.5000,True,-9.8000,9.8000,19.6000,resolved
19.6250,True,-9.8000,9.8000,19.6000,resolved
19.7500,True,-9.8000,9.8000,19.6000,resolved
19.8750,False,nan,nan,nan,single_peak
20.0000,False,nan,nan,nan,single_peak
