# METADATA
Omega_LO_opt_Eq58_MHz,2.957564
Omega_LO_operating_MHz,4.230000
linear_range_lower_MHz,1.034403
linear_range_upper_MHz,7.362704
linear_fit_slope_W_per_MHz,-1.053982e-06
linear_fit_intercept_W,4.014310e-05
linear_fit_R2,0.998178
linear_fit_resid_rms_W,8.317237e-08
n_qutip_solves,163

"# FIG.5(a): Omega_total_MHz, Pout_uW, linear_fit_Pout_uW, in_linear_range"
Omega_total_MHz,Pout_uW,linear_fit_Pout_uW,in_linear_range
8.335417e-09,1.0,5.229975,34.547855,True
1.000250e-08,1.0,5.229964,34.547866,True
1.166958e-08,1.0,5.229951,34.547880,True
1.333667e-08,1.0,5.229936,34.547896,True
1.500375e-08,1.0,5.229919,34.547915,True
1.667083e-08,1.0,5.229900,34.547935,True
1.833792e-08,1.0,5.229879,34.547958,True
2.000500e-08,1.0,5.229856,34.547983,True
2.167208e-08,1.0,5.229831,34.548009,True
2.333917e-08,1.0,5.229804,34.548039,True
2.500625e-08,1.0,5.229775,34.548070,True
2.667334e-08,1.0,5.229744,34.548103,True
2.834042e-08,1.0,5.229711,34.548139,True
3.000750e-08,1.0,5.229677,34.548176,True
3.167459e-08,1.0,5.229640,34.548216,True
3.334167e-08,1.0,5.229601,34.548258,True
3.500875e-08,1.0,5.229560,34.548302,True
3.667584e-08,1.0,5.229517,34.548348,True
3.834292e-08,1.0,5.229472,34.548397,True
4.001000e-08,1.0,5.229425,34.548447,True
4.167709e-08,1.0,5.229376,34.548500,True
4.334417e-08,1.0,5.229325,34.548555,True
4.501125e-08,1.0,5.229272,34.548612,True
4.667834e-08,1.0,5.229217,34.548671,True
4.834542e-08,1.0,5.229160,34.548732,True
5.001250e-08,1.0,5.229102,34.548796,True
5.167959e-08,1.0,5.229041,34.548862,True
5.334667e-08,1.0,5.228978,34.548929,True
5.501375e-08,1.0,5.228913,34.548999,True
5.668084e-08,1.0,5.228846,34.549071,True
5.834792e-08,1.0,5.228777,34.549146,True
6.001500e-08,1.0,5.228706,34.549222,True
6.168209e-08,1.0,5.228634,34.549301,True
6.334917e-08,1.0,5.228559,34.549381,True
6.501625e-08,1.0,5.228482,34.549464,True
6.668334e-08,1.0,5.228403,34.549549,True
6.835042e-08,1.0,5.228322,34.549636,True
7.001750e-08,1.0,5.228239,34.549725,True
7.168459e-08,1.0,5.228155,34.549817,True
7.335167e-08,1.0,5.228068,34.549911,True
7.501875e-08,1.0,5.227979,34.550006,True
7.668584e-08,1.0,5.227888,34.550104,True
7.835292e-08,1.0,5.227795,34.550204,True
8.002001e-08,1.0,5.227700,34.550306,True
8.168709e-08,1.0,5.227604,34.550411,True
8.335417e-08,1.0,5.227505,34.550517,True
8.502126e-08,1.0,5.227404,34.550626,True
8.668834e-08,1.0,5.227301,34.550737,True
8.835542e-08,1.0,5.227197,34.550850,True
9.002251e-08,1.0,5.227090,34.550965,True
9.168959e-08,1.0,5.226981,34.551082,True
9.335667e-08,1.0,5.226870,34.551201,True
9.502376e-08,1.0,5.226758,34.551323,True
9.669084e-08,1.0,5.226643,34.551447,True
9.835792e-08,1.0,5.226526,34.551572,True
1.000250e-07,1.0,5.226408,34.551700,True
1.016921e-07,1.0,5.226287,34.551831,True
1.033592e-07,1.0,5.226164,34.551963,True
1.050263e-07,1.0,5.226039,34.552097,True
1.066933e-07,1.0,5.225913,34.552234,True
1.083604e-07,1.0,5.225784,34.552373,True
1.100275e-07,1.0,5.225653,34.552513,True
1.116946e-07,1.0,5.225521,34.552656,True
1.133617e-07,1.0,5.225386,34.552802,True
1.150288e-07,1.0,5.225250,34.552949,True
1.166958e-07,1.0,5.225111,34.553098,True
1.183629e-07,1.0,5.224970,34.553250,True
1.200300e-07,1.0,5.224828,34.553404,True
1.216971e-07,1.0,5.224683,34.553560,True
1.233642e-07,1.0,5.224537,34.553718,True
1.250313e-07,1.0,5.224388,34.553878,True
1.266983e-07,1.0,5.224237,34.554040,True
1.283654e-07,1.0,5.224085,34.554205,True
1.300325e-07,1.0,5.223930,34.554372,True
1.316996e-07,1.0,5.223774,34.554540,True
1.333667e-07,1.0,5.223615,34.554711,True
1.350338e-07,1.0,5.223455,34.554884,True
1.367008e-07,1.0,5.223292,34.555060,True
1.383679e-07,1.0,5.223128,34.555237,True
1.400350e-07,1.0,5.222961,34.555417,True
1.417021e-07,1.0,5.222793,34.555598,True
1.433692e-07,1.0,5.222623,34.555782,True
1.450363e-07,1.0,5.222450,34.555968,True
1.467033e-07,1.0,5.222276,34.556156,True
1.483704e-07,1.0,5.222099,34.556346,True
1.500375e-07,1.0,5.221921,34.556539,True
1.517046e-07,1.0,5.221741,34.556733,True
1.533717e-07,1.0,5.221558,34.556930,True
1.550388e-07,1.0,5.221374,34.557129,True
1.567058e-07,1.0,5.221188,34.557330,True
1.583729e-07,1.0,5.220999,34.557533,True
1.600400e-07,1.0,5.220809,34.557738,True
1.617071e-07,1.0,5.220617,34.557946,True
1.633742e-07,1.0,5.220422,34.558155,True
1.650413e-07,1.0,5.220226,34.558367,True
1.667083e-07,1.0,5.220028,34.558581,True
1.683754e-07,1.0,5.219828,34.558797,True
1.700425e-07,1.0,5.219625,34.559015,True
1.717096e-07,1.0,5.219421,34.559235,True
1.733767e-07,1.0,5.219215,34.559458,True
1.750438e-07,1.0,5.219007,34.559682,True
1.767108e-07,1.0,5.218797,34.559909,True
1.783779e-07,1.0,5.218585,34.560138,True
1.800450e-07,1.0,5.218371,34.560369,True
1.817121e-07,1.0,5.218155,34.560602,True
1.833792e-07,1.0,5.217937,34.560838,True
1.850463e-07,1.0,5.217717,34.561075,True
1.867133e-07,1.0,5.217495,34.561315,True
1.883804e-07,1.0,5.217271,34.561556,True
1.900475e-07,1.0,5.217045,34.561800,True
1.917146e-07,1.0,5.216817,34.562046,True
1.933817e-07,1.0,5.216587,34.562294,True
1.950488e-07,1.0,5.216355,34.562545,True
1.967158e-07,1.0,5.216121,34.562797,True
1.983829e-07,1.0,5.215885,34.563052,True
2.000500e-07,1.0,5.215647,34.563308,True
2.017171e-07,1.0,5.215407,34.563567,True
2.033842e-07,1.0,5.215166,34.563828,True
2.050513e-07,1.0,5.214922,34.564091,True
2.067183e-07,1.0,5.214676,34.564357,True
2.083854e-07,1.0,5.214428,34.564624,True
2.100525e-07,1.0,5.214179,34.564893,True
2.117196e-07,1.0,5.213927,34.565165,True
2.133867e-07,1.0,5.213673,34.565439,True
2.150538e-07,1.0,5.213418,34.565715,True
2.167208e-07,1.0,5.213160,34.565993,True
2.183879e-07,1.0,5.212900,34.566273,True
2.200550e-07,1.0,5.212639,34.566556,True
2.217221e-07,1.0,5.212375,34.566840,True
2.233892e-07,1.0,5.212110,34.567127,True
2.250563e-07,1.0,5.211842,34.567416,True
2.267233e-07,1.0,5.211573,34.567707,True
2.283904e-07,1.0,5.211302,34.568000,True
2.300575e-07,1.0,5.211028,34.568295,True
2.317246e-07,1.0,5.210753,34.568592,True
2.333917e-07,1.0,5.210475,34.568892,True
2.350588e-07,1.0,5.210196,34.569193,True
2.367258e-07,1.0,5.209915,34.569497,True
2.383929e-07,1.0,5.209632,34.569803,True
2.400600e-07,1.0,5.209346,34.570111,True
2.417271e-07,1.0,5.209059,34.570421,True
2.433942e-07,1.0,5.208770,34.570733,True
2.450613e-07,1.0,5.208479,34.571048,True
2.467283e-07,1.0,5.208186,34.571364,True
2.483954e-07,1.0,5.207891,34.571683,True
2.500625e-07,1.0,5.207594,34.572004,True
2.517296e-07,1.0,5.207295,34.572327,True
2.533967e-07,1.0,5.206994,34.572652,True
2.550638e-07,1.0,5.206691,34.572979,True
2.567308e-07,1.0,5.206386,34.573309,True
2.583979e-07,1.0,5.206079,34.573640,True
2.600650e-07,1.0,5.205770,34.573974,True
2.617321e-07,1.0,5.205460,34.574310,True
2.633992e-07,1.0,5.205147,34.574647,True
2.650663e-07,1.0,5.204832,34.574987,True
2.667334e-07,1.0,5.204515,34.575330,True
2.684004e-07,1.0,5.204197,34.575674,True
2.700675e-07,1.0,5.203876,34.576020,True
2.717346e-07,1.0,5.203554,34.576369,True
2.734017e-07,1.0,5.203229,34.576720,True
2.750688e-07,1.0,5.202903,34.577072,True
2.767359e-07,1.0,5.202574,34.577427,True
2.784029e-07,1.0,5.202244,34.577784,True
2.800700e-07,1.0,5.201911,34.578144,True
2.817371e-07,1.0,5.201577,34.578505,True
2.834042e-07,1.0,5.201241,34.578868,True
2.850713e-07,1.0,5.200903,34.579234,True
2.867384e-07,1.0,5.200562,34.579602,True
2.884054e-07,1.0,5.200220,34.579972,True
2.900725e-07,1.0,5.199876,34.580344,True
2.917396e-07,1.0,5.199530,34.580718,True
2.934067e-07,1.0,5.199182,34.581094,True
2.950738e-07,1.0,5.198832,34.581472,True
2.967409e-07,1.0,5.198480,34.581853,True
2.984079e-07,1.0,5.198126,34.582235,True
3.000750e-07,1.0,5.197770,34.582620,True
3.017421e-07,1.0,5.197413,34.583007,True
3.034092e-07,1.0,5.197053,34.583396,True
3.050763e-07,1.0,5.196691,34.583787,True
3.067434e-07,1.0,5.196328,34.584180,True
3.084104e-07,1.0,5.195962,34.584576,True
3.100775e-07,1.0,5.195594,34.584973,True
3.117446e-07,1.0,5.195225,34.585373,True
3.134117e-07,1.0,5.194853,34.585774,True
3.150788e-07,1.0,5.194480,34.586178,True
3.167459e-07,1.0,5.194105,34.586584,True
3.184129e-07,1.0,5.193727,34.586992,True
3.200800e-07,1.0,5.193348,34.587403,True
3.217471e-07,1.0,5.192967,34.587815,True
3.234142e-07,1.0,5.192584,34.588229,True
3.250813e-07,1.0,5.192199,34.588646,True
3.267484e-07,1.0,5.191812,34.589065,True
3.284154e-07,1.0,5.191423,34.589485,True
3.300825e-07,1.0,5.191032,34.589908,True
3.317496e-07,1.0,5.190639,34.590333,True
3.334167e-07,1.0,5.190244,34.590761,True
3.350838e-07,1.0,5.189847,34.591190,True
3.367509e-07,1.0,5.189449,34.591621,True
3.384179e-07,1.0,5.189048,34.592055,True
3.400850e-07,1.0,5.188645,34.592491,True
3.417521e-07,1.0,5.188241,34.592928,True
3.434192e-07,1.0,5.187834,34.593368,True
3.450863e-07,1.0,5.187426,34.593810,True
3.467534e-07,1.0,5.187016,34.594254,True
3.484204e-07,1.0,5.186603,34.594701,True
3.500875e-07,1.0,5.186189,34.595149,True
3.517546e-07,1.0,5.185773,34.595599,True
3.534217e-07,1.0,5.185355,34.596052,True
3.550888e-07,1.0,5.184935,34.596507,True
3.567559e-07,1.0,5.184513,34.596964,True
3.584229e-07,1.0,5.184089,34.597423,True
3.600900e-07,1.0,5.183663,34.597884,True
3.617571e-07,1.0,5.183235,34.598347,True
3.634242e-07,1.0,5.182805,34.598812,True
3.650913e-07,1.0,5.182374,34.599279,True
3.667584e-07,1.0,5.181940,34.599749,True
3.684254e-07,1.0,5.181505,34.600221,True
3.700925e-07,1.0,5.181067,34.600694,True
3.717596e-07,1.0,5.180628,34.601170,True
3.734267e-07,1.0,5.180186,34.601648,True
3.750938e-07,1.0,5.179743,34.602128,True
3.767609e-07,1.0,5.179298,34.602610,True
3.784279e-07,1.0,5.178851,34.603095,True
3.800950e-07,1.0,5.178402,34.603581,True
3.817621e-07,1.0,5.177951,34.604069,True
3.834292e-07,1.0,5.177498,34.604560,True
3.850963e-07,1.0,5.177043,34.605053,True
3.867634e-07,1.0,5.176587,34.605548,True
3.884304e-07,1.0,5.176128,34.606045,True
3.900975e-07,1.0,5.175667,34.606544,True
3.917646e-07,1.0,5.175205,34.607045,True
3.934317e-07,1.0,5.174740,34.607548,True
3.950988e-07,1.0,5.174274,34.608053,True
3.967659e-07,1.0,5.173806,34.608561,True
3.984329e-07,1.0,5.173335,34.609070,True
4.001000e-07,1.0,5.172863,34.609582,True
4.017671e-07,1.0,5.172389,34.610096,True
4.034342e-07,1.0,5.171913,34.610612,True
4.051013e-07,1.0,5.171435,34.611130,True
4.067684e-07,1.0,5.170956,34.611650,True
4.084354e-07,1.0,5.170474,34.612172,True
4.101025e-07,1.0,5.169990,34.612696,True
4.117696e-07,1.0,5.169505,34.613223,True
4.134367e-07,1.0,5.169017,34.613751,True
4.151038e-07,1.0,5.168528,34.614282,True
4.167709e-07,1.0,5.168037,34.614814,True
4.184379e-07,1.0,5.167543,34.615349,True
4.201050e-07,1.0,5.167048,34.615886,True
4.217721e-07,1.0,5.166551,34.616425,True
4.234392e-07,1.0,5.166052,34.616966,True
4.251063e-07,1.0,5.165552,34.617509,True
4.267734e-07,1.0,5.165049,34.618055,True
4.284404e-07,1.0,5.164544,34.618602,True
4.301075e-07,1.0,5.164037,34.619152,True
4.317746e-07,1.0,5.163529,34.619703,True
4.334417e-07,1.0,5.163019,34.620257,True
4.351088e-07,1.0,5.162506,34.620813,True
4.367759e-07,1.0,5.161992,34.621370,True
4.384429e-07,1.0,5.161476,34.621930,True
4.401100e-07,1.0,5.160958,34.622492,True
4.417771e-07,1.0,5.160438,34.623057,True
4.434442e-07,1.0,5.159916,34.623623,True
4.451113e-07,1.0,5.159392,34.624191,True
4.467784e-07,1.0,5.158867,34.624762,True
4.484454e-07,1.0,5.158339,34.625334,True
4.501125e-07,1.0,5.157810,34.625909,True
4.517796e-07,1.0,5.157279,34.626485,True
4.534467e-07,1.0,5.156745,34.627064,True
4.551138e-07,1.0,5.156210,34.627645,True
4.567809e-07,1.0,5.155673,34.628228,True
4.584479e-07,1.0,5.155134,34.628813,True
4.601150e-07,1.0,5.154593,34.629400,True
4.617821e-07,1.0,5.154051,34.629989,True
4.634492e-07,1.0,5.153506,34.630581,True
4.651163e-07,1.0,5.152960,34.631174,True
4.667834e-07,1.0,5.152411,34.631770,True
4.684504e-07,1.0,5.151861,34.632367,True
4.701175e-07,1.0,5.151309,34.632967,True
4.717846e-07,1.0,5.150755,34.633569,True
4.734517e-07,1.0,5.150199,34.634172,True
4.751188e-07,1.0,5.149641,34.634778,True
4.767859e-07,1.0,5.149081,34.635386,True
4.784529e-07,1.0,5.148519,34.635996,True
4.801200e-07,1.0,5.147956,34.636609,True
4.817871e-07,1.0,5.147391,34.637223,True
4.834542e-07,1.0,5.146823,34.637839,True
4.851213e-07,1.0,5.146254,34.638458,True
4.867884e-07,1.0,5.145683,34.639078,True
4.884554e-07,1.0,5.145110,34.639701,True
4.901225e-07,1.0,5.144535,34.640325,True
4.917896e-07,1.0,5.143959,34.640952,True
4.934567e-07,1.0,5.143380,34.641581,True
4.951238e-07,1.0,5.142799,34.642212,True
