distance_m,PTx10dBm_eps0.1pct,PTx10dBm_eps0.25pct,PTx10dBm_eps0.5pct,PTx10dBm_eps1pct,PTx10dBm_eps2pct,PTx10dBm_eps5pct,PTx20dBm_eps0.1pct,PTx20dBm_eps0.25pct,PTx20dBm_eps0.5pct,PTx20dBm_eps1pct,PTx20dBm_eps2pct,PTx20dBm_eps5pct
0.100000,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.105925,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.112202,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.118850,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.125893,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.133352,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.141254,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.149624,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.158489,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.167880,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.177828,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.188365,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.199526,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.211349,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.223872,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.237137,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.251189,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.266073,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.281838,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.298538,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.316228,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.334965,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.354813,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.375837,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.398107,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.421697,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.446684,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.473151,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.501187,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.530884,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.562341,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.595662,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.630957,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.668344,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.707946,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.749894,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.794328,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.841395,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.891251,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
0.944061,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
1.000000,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
1.059254,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
1.122018,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
1.188502,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
1.258925,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
1.333521,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
1.412538,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
1.496236,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
1.584893,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
1.678804,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
1.778279,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
1.883649,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
1.995262,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
2.113489,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
2.238721,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
2.371374,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
2.511886,,,,,,,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
2.660725,,,,,,,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
2.818383,,,,,,,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
2.985383,,,,,,,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
3.162278,,,,,,,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
3.349654,,,,,,,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
3.548134,,,,,,,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
3.758374,,,,,,,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
3.981072,,,,,,,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
4.216965,,,,,,,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
4.466836,,,,,,,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
4.731513,,,,,,,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
5.011872,,,,,,,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
5.308844,,,,,,,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
5.623413,,,,,,,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
5.956621,,,,,,,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
6.309573,,,,,,,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
6.683439,,,,,,,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
7.079458,,,,,,,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
7.498942,,,,,,,60.0000,52.0412,46.0206,40.0000,33.9794,26.0206
7.943282,,,,,,,,,,,,
8.413951,,,,,,,,,,,,
8.912509,,,,,,,,,,,,
9.440609,,,,,,,,,,,,
10.000000,,,,,,,,,,,,
10.592537,,,,,,,,,,,,
11.220185,,,,,,,,,,,,
11.885022,,,,,,,,,,,,
12.589254,,,,,,,,,,,,
13.335214,,,,,,,,,,,,
14.125375,,,,,,,,,,,,
14.962357,,,,,,,,,,,,
15.848932,,,,,,,,,,,,
16.788040,,,,,,,,,,,,
17.782794,,,,,,,,,,,,
18.836491,,,,,,,,,,,,
19.952623,,,,,,,,,,,,
21.134890,,,,,,,,,,,,
22.387211,,,,,,,,,,,,
23.713737,,,,,,,,,,,,
25.118864,,,,,,,,,,,,
26.607251,,,,,,,,,,,,
28.183829,,,,,,,,,,,,
29.853826,,,,,,,,,,,,
31.622777,,,,,,,,,,,,
33.496544,,,,,,,,,,,,
35.481339,,,,,,,,,,,,
37.583740,,,,,,,,,,,,
39.810717,,,,,,,,,,,,
42.169650,,,,,,,,,,,,
44.668359,,,,,,,,,,,,
47.315126,,,,,,,,,,,,
50.118723,,,,,,,,,,,,
53.088444,,,,,,,,,,,,
56.234133,,,,,,,,,,,,
59.566214,,,,,,,,,,,,
63.095734,,,,,,,,,,,,
66.834392,,,,,,,,,,,,
70.794578,,,,,,,,,,,,
74.989421,,,,,,,,,,,,
79.432823,,,,,,,,,,,,
84.139514,,,,,,,,,,,,
89.125094,,,,,,,,,,,,
94.406088,,,,,,,,,,,,
100.000000,,,,,,,,,,,,
105.925373,,,,,,,,,,,,
112.201845,,,,,,,,,,,,
118.850223,,,,,,,,,,,,
125.892541,,,,,,,,,,,,
133.352143,,,,,,,,,,,,
141.253754,,,,,,,,,,,,
149.623566,,,,,,,,,,,,
158.489319,,,,,,,,,,,,
167.880402,,,,,,,,,,,,
177.827941,,,,,,,,,,,,
188.364909,,,,,,,,,,,,
199.526231,,,,,,,,,,,,
211.348904,,,,,,,,,,,,
223.872114,,,,,,,,,,,,
237.137371,,,,,,,,,,,,
251.188643,,,,,,,,,,,,
266.072506,,,,,,,,,,,,
281.838293,,,,,,,,,,,,
298.538262,,,,,,,,,,,,
316.227766,,,,,,,,,,,,
334.965439,,,,,,,,,,,,
354.813389,,,,,,,,,,,,
375.837404,,,,,,,,,,,,
398.107171,,,,,,,,,,,,
421.696503,,,,,,,,,,,,
446.683592,,,,,,,,,,,,
473.151259,,,,,,,,,,,,
501.187234,,,,,,,,,,,,
530.884444,,,,,,,,,,,,
562.341325,,,,,,,,,,,,
595.662144,,,,,,,,,,,,
630.957344,,,,,,,,,,,,
668.343918,,,,,,,,,,,,
707.945784,,,,,,,,,,,,
749.894209,,,,,,,,,,,,
794.328235,,,,,,,,,,,,
841.395142,,,,,,,,,,,,
891.250938,,,,,,,,,,,,
944.060876,,,,,,,,,,,,
1000.000000,,,,,,,,,,,,
1059.253725,,,,,,,,,,,,
1122.018454,,,,,,,,,,,,
1188.502227,,,,,,,,,,,,
1258.925412,,,,,,,,,,,,
1333.521432,,,,,,,,,,,,
1412.537545,,,,,,,,,,,,
1496.235656,,,,,,,,,,,,
1584.893192,,,,,,,,,,,,
1678.804018,,,,,,,,,,,,
1778.279410,,,,,,,,,,,,
1883.649089,,,,,,,,,,,,
1995.262315,,,,,,,,,,,,
2113.489040,,,,,,,,,,,,
2238.721139,,,,,,,,,,,,
2371.373706,,,,,,,,,,,,
2511.886432,,,,,,,,,,,,
2660.725060,,,,,,,,,,,,
2818.382931,,,,,,,,,,,,
2985.382619,,,,,,,,,,,,
3162.277660,,,,,,,,,,,,
3349.654392,,,,,,,,,,,,
3548.133892,,,,,,,,,,,,
3758.374043,,,,,,,,,,,,
3981.071706,,,,,,,,,,,,
4216.965034,,,,,,,,,,,,
4466.835922,,,,,,,,,,,,
4731.512590,,,,,,,,,,,,
5011.872336,,,,,,,,,,,,
5308.844442,,,,,,,,,,,,
5623.413252,,,,,,,,,,,,
5956.621435,,,,,,,,,,,,
6309.573445,,,,,,,,,,,,
6683.439176,,,,,,,,,,,,
7079.457844,,,,,,,,,,,,
7498.942093,,,,,,,,,,,,
7943.282347,,,,,,,,,,,,
8413.951416,,,,,,,,,,,,
8912.509381,,,,,,,,,,,,
9440.608763,,,,,,,,,,,,
10000.000000,,,,,,,,,,,,
10592.537252,,,,,,,,,,,,
11220.184543,,,,,,,,,,,,
11885.022274,,,,,,,,,,,,
12589.254118,,,,,,,,,,,,
13335.214322,,,,,,,,,,,,
14125.375446,,,,,,,,,,,,
14962.356561,,,,,,,,,,,,
15848.931925,,,,,,,,,,,,
16788.040181,,,,,,,,,,,,
17782.794100,,,,,,,,,,,,
18836.490895,,,,,,,,,,,,
19952.623150,,,,,,,,,,,,
21134.890398,,,,,,,,,,,,
22387.211386,,,,,,,,,,,,
23713.737057,,,,,,,,,,,,
25118.864315,,,,,,,,,,,,
26607.250598,,,,,,,,,,,,
28183.829313,,,,,,,,,,,,
29853.826189,,,,,,,,,,,,
31622.776602,,,,,,,,,,,,
33496.543916,,,,,,,,,,,,
35481.338923,,,,,,,,,,,,
37583.740429,,,,,,,,,,,,
39810.717055,,,,,,,,,,,,
42169.650343,,,,,,,,,,,,
44668.359215,,,,,,,,,,,,
47315.125896,,,,,,,,,,,,
50118.723363,,,,,,,,,,,,
53088.444423,,,,,,,,,,,,
56234.132519,,,,,,,,,,,,
59566.214353,,,,,,,,,,,,
63095.734448,,,,,,,,,,,,
66834.391757,,,,,,,,,,,,
70794.578438,,,,,,,,,,,,
74989.420933,,,,,,,,,,,,
79432.823472,,,,,,,,,,,,
84139.514165,,,,,,,,,,,,
89125.093813,,,,,,,,,,,,
94406.087629,,,,,,,,,,,,
100000.000000,,,,,,,,,,,,
105925.372518,,,,,,,,,,,,
112201.845430,,,,,,,,,,,,
118850.222744,,,,,,,,,,,,
125892.541179,,,,,,,,,,,,
133352.143216,,,,,,,,,,,,
141253.754462,,,,,,,,,,,,
149623.565609,,,,,,,,,,,,
158489.319246,,,,,,,,,,,,
167880.401812,,,,,,,,,,,,
177827.941004,,,,,,,,,,,,
188364.908949,,,,,,,,,,,,
199526.231497,,,,,,,,,,,,
211348.903984,,,,,,,,,,,,
223872.113857,,,,,,,,,,,,
237137.370566,,,,,,,,,,,,
251188.643151,,,,,,,,,,,,
266072.505980,,,,,,,,,,,,
281838.293126,,,,,,,,,,,,
298538.261892,,,,,,,,,,,,
316227.766017,,,,,,,,,,,,
334965.439158,,,,,,,,,,,,
354813.389234,,,,,,,,,,,,
375837.404288,,,,,,,,,,,,
398107.170553,,,,,,,,,,,,
421696.503429,,,,,,,,,,,,
446683.592151,,,,,,,,,,,,
473151.258961,,,,,,,,,,,,
501187.233627,,,,,,,,,,,,
530884.444231,,,,,,,,,,,,
562341.325190,,,,,,,,,,,,
595662.143529,,,,,,,,,,,,
630957.344480,,,,,,,,,,,,
668343.917569,,,,,,,,,,,,
707945.784384,,,,,,,,,,,,
749894.209332,,,,,,,,,,,,
794328.234724,,,,,,,,,,,,
841395.141645,,,,,,,,,,,,
891250.938134,,,,,,,,,,,,
944060.876286,,,,,,,,,,,,
1000000.000000,,,,,,,,,,,,
