# METADATA
fig4_threshold_mhz,5.125000
fig5_Omega_LO_mhz,4.230000
fig5_linear_range_low_mhz,1.034403
fig5_linear_range_high_mhz,7.362704
Omega_RF_max_from_fig5_mhz,3.132704
kappa_W_per_rad_per_s,-1.677464e-13
P0_bar_W,3.566929e-05
A_LO,5.519570e-07
sigma_Ry_LO_sq,7.556606e-14
n_qutip_solves_this_script,350

distance_m,SNR_conventional_dB_PTx-10dBm,SNR_conventional_dB_PTx10dBm,SNR_theoretical_LO_dressed_dB_PTx-10dBm,SNR_theoretical_LO_dressed_dB_PTx10dBm,SNR_practical_LO_dressed_dB_PTx-10dBm,SNR_practical_LO_dressed_dB_PTx10dBm,practical_in_linear_region_PTx-10dBm,practical_in_linear_region_PTx10dBm,SNR_LO_free_dB_PTx10dBm,SNR_LO_free_dB_PTx20dBm,LO_free_resolved_PTx10dBm,LO_free_resolved_PTx20dBm,Omega_RF_MHz_PTx-10dBm,Omega_RF_MHz_PTx10dBm
1.258925,14.6707,34.6707,43.5571,63.5571,44.1799,49.5750,True,False,46.0206,46.0206,True,True,1.010037,10.100375
1.333521,14.1707,34.1707,43.0571,63.0571,43.6977,50.3464,True,False,46.0206,46.0206,True,True,0.953537,9.535369
1.412538,13.6707,33.6707,42.5571,62.5571,43.2135,51.0478,True,False,46.0206,46.0206,True,True,0.900197,9.001969
1.496236,13.1707,33.1707,42.0571,62.0571,42.7276,51.6767,True,False,46.0206,46.0206,True,True,0.849841,8.498406
1.584893,12.6707,32.6707,41.5571,61.5571,42.2401,52.2316,True,False,46.0206,46.0206,True,True,0.802301,8.023013
1.678804,12.1707,32.1707,41.0571,61.0571,41.7513,52.7119,True,False,46.0206,46.0206,True,True,0.757421,7.574213
1.778279,11.6707,31.6707,40.5571,60.5571,41.2612,53.1179,True,False,46.0206,46.0206,True,True,0.715052,7.150518
1.883649,11.1707,31.1707,40.0571,60.0571,40.7701,53.4508,True,False,46.0206,46.0206,True,True,0.675052,6.750524
1.995262,10.6707,30.6707,39.5571,59.5571,40.2780,53.7127,True,False,46.0206,46.0206,True,True,0.637291,6.372906
2.113489,10.1707,30.1707,39.0571,59.0571,39.7850,53.9065,True,False,46.0206,46.0206,True,True,0.601641,6.016411
2.238721,9.6707,29.6707,38.5571,58.5571,39.2913,54.0358,True,False,46.0206,46.0206,True,True,0.567986,5.679858
2.371374,9.1707,29.1707,38.0571,58.0571,38.7969,54.1042,True,False,46.0206,46.0206,True,True,0.536213,5.362132
2.511886,8.6707,28.6707,37.5571,57.5571,38.3018,54.1162,True,False,,46.0206,False,True,0.506218,5.062179
2.660725,8.1707,28.1707,37.0571,57.0571,37.8063,54.0760,True,False,,46.0206,False,True,0.477901,4.779005
2.818383,7.6707,27.6707,36.5571,56.5571,37.3102,53.9879,True,False,,46.0206,False,True,0.451167,4.511672
