Omega_RF_MHz \ Delta_c_MHz,-20.00,-19.80,-19.60,-19.40,-19.20,-19.00,-18.80,-18.60,-18.40,-18.20,-18.00,-17.80,-17.60,-17.40,-17.20,-17.00,-16.80,-16.60,-16.40,-16.20,-16.00,-15.80,-15.60,-15.40,-15.20,-15.00,-14.80,-14.60,-14.40,-14.20,-14.00,-13.80,-13.60,-13.40,-13.20,-13.00,-12.80,-12.60,-12.40,-12.20,-12.00,-11.80,-11.60,-11.40,-11.20,-11.00,-10.80,-10.60,-10.40,-10.20,-10.00,-9.80,-9.60,-9.40,-9.20,-9.00,-8.80,-8.60,-8.40,-8.20,-8.00,-7.80,-7.60,-7.40,-7.20,-7.00,-6.80,-6.60,-6.40,-6.20,-6.00,-5.80,-5.60,-5.40,-5.20,-5.00,-4.80,-4.60,-4.40,-4.20,-4.00,-3.80,-3.60,-3.40,-3.20,-3.00,-2.80,-2.60,-2.40,-2.20,-2.00,-1.80,-1.60,-1.40,-1.20,-1.00,-0.80,-0.60,-0.40,-0.20,0.00,0.20,0.40,0.60,0.80,1.00,1.20,1.40,1.60,1.80,2.00,2.20,2.40,2.60,2.80,3.00,3.20,3.40,3.60,3.80,4.00,4.20,4.40,4.60,4.80,5.00,5.20,5.40,5.60,5.80,6.00,6.20,6.40,6.60,6.80,7.00,7.20,7.40,7.60,7.80,8.00,8.20,8.40,8.60,8.80,9.00,9.20,9.40,9.60,9.80,10.00,10.20,10.40,10.60,10.80,11.00,11.20,11.40,11.60,11.80,12.00,12.20,12.40,12.60,12.80,13.00,13.20,13.40,13.60,13.80,14.00,14.20,14.40,14.60,14.80,15.00,15.20,15.40,15.60,15.80,16.00,16.20,16.40,16.60,16.80,17.00,17.20,17.40,17.60,17.80,18.00,18.20,18.40,18.60,18.80,19.00,19.20,19.40,19.60,19.80,20.00
0.0000,27.213430,27.215956,27.218578,27.221301,27.224130,27.227070,27.230126,27.233303,27.236607,27.240044,27.243620,27.247343,27.251219,27.255256,27.259461,27.263844,27.268413,27.273178,27.278148,27.283334,27.288748,27.294401,27.300307,27.306478,27.312928,27.319674,27.326732,27.334117,27.341851,27.349950,27.358438,27.367336,27.376667,27.386459,27.396738,27.407533,27.418876,27.430802,27.443345,27.456546,27.470446,27.485091,27.500530,27.516814,27.534002,27.552154,27.571337,27.591623,27.613090,27.635825,27.659918,27.685470,27.712591,27.741401,27.772030,27.804621,27.839330,27.876329,27.915806,27.957969,28.003044,28.051284,28.102965,28.158394,28.217908,28.281884,28.350736,28.424926,28.504965,28.591424,28.684934,28.786198,28.895999,29.015206,29.144783,29.285798,29.439434,29.606991,29.789894,29.989697,30.208070,30.446793,30.707726,30.992759,31.303744,31.642382,32.010063,32.407658,32.835218,33.291613,33.774085,34.277740,34.795039,35.315366,35.824808,36.306317,36.740420,37.106567,37.385101,37.559579,37.619025,37.559579,37.385101,37.106567,36.740420,36.306317,35.824808,35.315366,34.795039,34.277740,33.774085,33.291613,32.835218,32.407658,32.010063,31.642382,31.303744,30.992759,30.707726,30.446793,30.208070,29.989697,29.789894,29.606991,29.439434,29.285798,29.144783,29.015206,28.895999,28.786198,28.684934,28.591424,28.504965,28.424926,28.350736,28.281884,28.217908,28.158394,28.102965,28.051284,28.003044,27.957969,27.915806,27.876329,27.839330,27.804621,27.772030,27.741401,27.712591,27.685470,27.659918,27.635825,27.613090,27.591623,27.571337,27.552154,27.534002,27.516814,27.500530,27.485091,27.470446,27.456546,27.443345,27.430802,27.418876,27.407533,27.396738,27.386459,27.376667,27.367336,27.358438,27.349950,27.341851,27.334117,27.326732,27.319674,27.312928,27.306478,27.300307,27.294401,27.288748,27.283334,27.278148,27.273178,27.268413,27.263844,27.259461,27.255256,27.251219,27.247343,27.243620,27.240044,27.236607,27.233303,27.230126,27.227070,27.224130,27.221301,27.218578,27.215956,27.213430
0.1250,27.288135,27.292986,27.298021,27.303250,27.308679,27.314319,27.320179,27.326269,27.332600,27.339183,27.346030,27.353153,27.360566,27.368282,27.376316,27.384684,27.393401,27.402486,27.411957,27.421831,27.432132,27.442879,27.454095,27.465806,27.478036,27.490814,27.504167,27.518128,27.532727,27.548001,27.563987,27.580722,27.598250,27.616615,27.635865,27.656049,27.677222,27.699443,27.722772,27.747275,27.773023,27.800092,27.828562,27.858520,27.890059,27.923278,27.958285,27.995194,28.034130,28.075225,28.118622,28.164476,28.212953,28.264232,28.318506,28.375985,28.436892,28.501473,28.569988,28.642723,28.719984,28.802103,28.889437,28.982374,29.081331,29.186757,29.299137,29.418992,29.546880,29.683399,29.829186,29.984919,30.151313,30.329118,30.519115,30.722108,30.938911,31.170336,31.417170,31.680144,31.959902,32.256952,32.571607,32.903916,33.253578,33.619846,34.001412,34.396290,34.801694,35.213924,35.628271,36.038970,36.439211,36.821235,37.176554,37.496287,37.771654,37.994594,38.158447,38.258497,38.292116,38.258497,38.158447,37.994594,37.771654,37.496287,37.176554,36.821235,36.439211,36.038970,35.628271,35.213924,34.801694,34.396290,34.001412,33.619846,33.253578,32.903916,32.571607,32.256952,31.959902,31.680144,31.417170,31.170336,30.938911,30.722108,30.519115,30.329118,30.151313,29.984919,29.829186,29.683399,29.546880,29.418992,29.299137,29.186757,29.081331,28.982374,28.889437,28.802103,28.719984,28.642723,28.569988,28.501473,28.436892,28.375985,28.318506,28.264232,28.212953,28.164476,28.118622,28.075225,28.034130,27.995194,27.958285,27.923278,27.890059,27.858520,27.828562,27.800092,27.773023,27.747275,27.722772,27.699443,27.677222,27.656049,27.635865,27.616615,27.598250,27.580722,27.563987,27.548001,27.532727,27.518128,27.504167,27.490814,27.478036,27.465806,27.454095,27.442879,27.432132,27.421831,27.411957,27.402486,27.393401,27.384684,27.376316,27.368282,27.360566,27.353153,27.346030,27.339183,27.332600,27.326269,27.320179,27.314319,27.308679,27.303250,27.298021,27.292986,27.288135
0.2500,27.288655,27.293529,27.298588,27.303841,27.309297,27.314964,27.320853,27.326974,27.333337,27.339954,27.346836,27.353997,27.361449,27.369206,27.377284,27.385697,27.394463,27.403599,27.413123,27.423054,27.433414,27.444223,27.455506,27.467286,27.479590,27.492445,27.505880,27.519927,27.534618,27.549989,27.566076,27.582919,27.600561,27.619046,27.638422,27.658741,27.680057,27.702428,27.725916,27.750587,27.776514,27.803771,27.832441,27.862610,27.894373,27.927829,27.963087,28.000263,28.039481,28.080874,28.124588,28.170777,28.219609,28.271264,28.325937,28.383838,28.445192,28.510246,28.579262,28.652527,28.730348,28.813058,28.901018,28.994615,29.094267,29.200426,29.313576,29.434240,29.562976,29.700382,29.847096,30.003792,30.171185,30.350021,30.541077,30.745152,30.963052,31.195580,31.443508,31.707555,31.988346,32.286364,32.601897,32.934962,33.285223,33.651888,34.033603,34.428331,34.833226,35.244525,35.657451,36.066169,36.463791,36.842490,37.193719,37.508594,37.778449,37.995573,38.154009,38.250090,38.282235,38.250090,38.154009,37.995573,37.778449,37.508594,37.193719,36.842490,36.463791,36.066169,35.657451,35.244525,34.833226,34.428331,34.033603,33.651888,33.285223,32.934962,32.601897,32.286364,31.988346,31.707555,31.443508,31.195580,30.963052,30.745152,30.541077,30.350021,30.171185,30.003792,29.847096,29.700382,29.562976,29.434240,29.313576,29.200426,29.094267,28.994615,28.901018,28.813058,28.730348,28.652527,28.579262,28.510246,28.445192,28.383838,28.325937,28.271264,28.219609,28.170777,28.124588,28.080874,28.039481,28.000263,27.963087,27.927829,27.894373,27.862610,27.832441,27.803771,27.776514,27.750587,27.725916,27.702428,27.680057,27.658741,27.638422,27.619046,27.600561,27.582919,27.566076,27.549989,27.534618,27.519927,27.505880,27.492445,27.479590,27.467286,27.455506,27.444223,27.433414,27.423054,27.413123,27.403599,27.394463,27.385697,27.377284,27.369206,27.361449,27.353997,27.346836,27.339954,27.333337,27.326974,27.320853,27.314964,27.309297,27.303841,27.298588,27.293529,27.288655
0.3750,27.288795,27.293675,27.298741,27.304001,27.309464,27.315139,27.321036,27.327165,27.333537,27.340163,27.347055,27.354226,27.361689,27.369458,27.377548,27.385975,27.394754,27.403904,27.413443,27.423390,27.433766,27.444594,27.455895,27.467695,27.480020,27.492898,27.506356,27.520428,27.535146,27.550544,27.566661,27.583536,27.601211,27.619731,27.639145,27.659504,27.680862,27.703278,27.726814,27.751537,27.777518,27.804834,27.833565,27.863800,27.895634,27.929165,27.964503,28.001765,28.041074,28.082565,28.126384,28.172686,28.221638,28.273423,28.328234,28.386283,28.447798,28.513023,28.582224,28.655688,28.733724,28.816666,28.904875,28.998741,29.098685,29.205158,29.318649,29.439681,29.568817,29.706655,29.853837,30.011041,30.178984,30.358417,30.550119,30.754892,30.973547,31.206889,31.455692,31.720677,32.002467,32.301545,32.618190,32.952409,33.303848,33.671689,34.054539,34.450306,34.856072,35.267970,35.681095,36.089441,36.485915,36.862451,37.210260,37.520276,37.783850,37.993694,38.144911,38.235493,38.265558,38.235493,38.144911,37.993694,37.783850,37.520276,37.210260,36.862451,36.485915,36.089441,35.681095,35.267970,34.856072,34.450306,34.054539,33.671689,33.303848,32.952409,32.618190,32.301545,32.002467,31.720677,31.455692,31.206889,30.973547,30.754892,30.550119,30.358417,30.178984,30.011041,29.853837,29.706655,29.568817,29.439681,29.318649,29.205158,29.098685,28.998741,28.904875,28.816666,28.733724,28.655688,28.582224,28.513023,28.447798,28.386283,28.328234,28.273423,28.221638,28.172686,28.126384,28.082565,28.041074,28.001765,27.964503,27.929165,27.895634,27.863800,27.833565,27.804834,27.777518,27.751537,27.726814,27.703278,27.680862,27.659504,27.639145,27.619731,27.601211,27.583536,27.566661,27.550544,27.535146,27.520428,27.506356,27.492898,27.480020,27.467695,27.455895,27.444594,27.433766,27.423390,27.413443,27.403904,27.394754,27.385975,27.377548,27.369458,27.361689,27.354226,27.347055,27.340163,27.333537,27.327165,27.321036,27.315139,27.309464,27.304001,27.298741,27.293675,27.288795
0.5000,27.288896,27.293780,27.298851,27.304116,27.309584,27.315265,27.321168,27.327303,27.333681,27.340314,27.347214,27.354392,27.361863,27.369641,27.377740,27.386176,27.394965,27.404126,27.413676,27.423635,27.434024,27.444864,27.456180,27.467995,27.480336,27.493230,27.506707,27.520798,27.535536,27.550955,27.567095,27.583994,27.601695,27.620244,27.639687,27.660077,27.681469,27.703921,27.727495,27.752259,27.778284,27.805647,27.834429,27.864718,27.896609,27.930203,27.965609,28.002942,28.042329,28.083905,28.127814,28.174213,28.223272,28.275170,28.330106,28.388289,28.449949,28.515333,28.584706,28.658358,28.736598,28.819763,28.908216,29.002349,29.102584,29.209377,29.323219,29.444637,29.574196,29.712500,29.860195,30.017964,30.186529,30.366648,30.559105,30.764710,30.984279,31.218624,31.468527,31.734711,32.017805,32.318290,32.636443,32.972260,33.325365,33.694910,34.079451,34.476822,34.884001,35.296980,35.710664,36.118803,36.514006,36.887864,37.231242,37.534829,37.790010,37.990111,38.131683,38.214953,38.242259,38.214953,38.131683,37.990111,37.790010,37.534829,37.231242,36.887864,36.514006,36.118803,35.710664,35.296980,34.884001,34.476822,34.079451,33.694910,33.325365,32.972260,32.636443,32.318290,32.017805,31.734711,31.468527,31.218624,30.984279,30.764710,30.559105,30.366648,30.186529,30.017964,29.860195,29.712500,29.574196,29.444637,29.323219,29.209377,29.102584,29.002349,28.908216,28.819763,28.736598,28.658358,28.584706,28.515333,28.449949,28.388289,28.330106,28.275170,28.223272,28.174213,28.127814,28.083905,28.042329,28.002942,27.965609,27.930203,27.896609,27.864718,27.834429,27.805647,27.778284,27.752259,27.727495,27.703921,27.681469,27.660077,27.639687,27.620244,27.601695,27.583994,27.567095,27.550955,27.535536,27.520798,27.506707,27.493230,27.480336,27.467995,27.456180,27.444864,27.434024,27.423635,27.413676,27.404126,27.394965,27.386176,27.377740,27.369641,27.361863,27.354392,27.347214,27.340314,27.333681,27.327303,27.321168,27.315265,27.309584,27.304116,27.298851,27.293780,27.288896
0.6250,27.288998,27.293887,27.298963,27.304233,27.309707,27.315393,27.321302,27.327444,27.333829,27.340469,27.347376,27.354563,27.362042,27.369829,27.377937,27.386383,27.395183,27.404354,27.413916,27.423888,27.434290,27.445144,27.456475,27.468306,27.480663,27.493575,27.507071,27.521182,27.535941,27.551384,27.567548,27.584473,27.602202,27.620780,27.640255,27.660679,27.682107,27.704597,27.728213,27.753021,27.779094,27.806507,27.835344,27.865693,27.897648,27.931310,27.966790,28.004203,28.043676,28.085345,28.129355,28.175864,28.225040,28.277068,28.332143,28.390479,28.452305,28.517870,28.587441,28.661309,28.739786,28.823210,28.911948,29.006393,29.106972,29.214144,29.328403,29.450281,29.580348,29.719214,29.867529,30.025985,30.195311,30.376270,30.569658,30.776292,30.996998,31.232597,31.483878,31.751573,32.036314,32.338585,32.658658,32.996514,33.351754,33.723485,34.110200,34.509634,34.918630,35.332993,35.747379,36.155222,36.548746,36.919108,37.256755,37.552099,37.796637,37.984527,38.114165,38.188480,38.212430,38.188480,38.114165,37.984527,37.796637,37.552099,37.256755,36.919108,36.548746,36.155222,35.747379,35.332993,34.918630,34.509634,34.110200,33.723485,33.351754,32.996514,32.658658,32.338585,32.036314,31.751573,31.483878,31.232597,30.996998,30.776292,30.569658,30.376270,30.195311,30.025985,29.867529,29.719214,29.580348,29.450281,29.328403,29.214144,29.106972,29.006393,28.911948,28.823210,28.739786,28.661309,28.587441,28.517870,28.452305,28.390479,28.332143,28.277068,28.225040,28.175864,28.129355,28.085345,28.043676,28.004203,27.966790,27.931310,27.897648,27.865693,27.835344,27.806507,27.779094,27.753021,27.728213,27.704597,27.682107,27.660679,27.640255,27.620780,27.602202,27.584473,27.567548,27.551384,27.535941,27.521182,27.507071,27.493575,27.480663,27.468306,27.456475,27.445144,27.434290,27.423888,27.413916,27.404354,27.395183,27.386383,27.377937,27.369829,27.362042,27.354563,27.347376,27.340469,27.333829,27.327444,27.321302,27.315393,27.309707,27.304233,27.298963,27.293887,27.288998
0.7500,27.289114,27.294008,27.299089,27.304365,27.309845,27.315538,27.321454,27.327603,27.333996,27.340644,27.347559,27.354755,27.362244,27.370040,27.378159,27.386616,27.395428,27.404612,27.414187,27.424173,27.434590,27.445461,27.456808,27.468657,27.481034,27.493966,27.507483,27.521617,27.536401,27.551869,27.568061,27.585016,27.602776,27.621388,27.640899,27.661362,27.682831,27.705366,27.729030,27.753889,27.780016,27.807489,27.836389,27.866806,27.898835,27.932576,27.968141,28.005647,28.045221,28.086998,28.131126,28.177762,28.227077,28.279255,28.334495,28.393009,28.455031,28.520808,28.590613,28.664735,28.743492,28.827223,28.916298,29.011114,29.112102,29.219724,29.334481,29.456908,29.587583,29.727121,29.876182,30.035463,30.205703,30.387677,30.582189,30.790067,31.012148,31.249265,31.502217,31.771745,32.058487,32.362927,32.685330,33.025661,33.383488,33.757864,34.147196,34.549099,34.960241,35.376194,35.791305,36.198618,36.589890,36.955770,37.286232,37.571425,37.803075,37.976430,38.092096,38.156069,38.176176,38.156069,38.092096,37.976430,37.803075,37.571425,37.286232,36.955770,36.589890,36.198618,35.791305,35.376194,34.960241,34.549099,34.147196,33.757864,33.383488,33.025661,32.685330,32.362927,32.058487,31.771745,31.502217,31.249265,31.012148,30.790067,30.582189,30.387677,30.205703,30.035463,29.876182,29.727121,29.587583,29.456908,29.334481,29.219724,29.112102,29.011114,28.916298,28.827223,28.743492,28.664735,28.590613,28.520808,28.455031,28.393009,28.334495,28.279255,28.227077,28.177762,28.131126,28.086998,28.045221,28.005647,27.968141,27.932576,27.898835,27.866806,27.836389,27.807489,27.780016,27.753889,27.729030,27.705366,27.682831,27.661362,27.640899,27.621388,27.602776,27.585016,27.568061,27.551869,27.536401,27.521617,27.507483,27.493966,27.481034,27.468657,27.456808,27.445461,27.434590,27.424173,27.414187,27.404612,27.395428,27.386616,27.378159,27.370040,27.362244,27.354755,27.347559,27.340644,27.333996,27.327603,27.321454,27.315538,27.309845,27.304365,27.299089,27.294008,27.289114
0.8750,27.289245,27.294146,27.299233,27.304516,27.310003,27.315704,27.321627,27.327784,27.334186,27.340843,27.347768,27.354974,27.362474,27.370282,27.378413,27.386883,27.395708,27.404907,27.414497,27.424499,27.434934,27.445822,27.457189,27.469059,27.481457,27.494413,27.507955,27.522115,27.536927,27.552426,27.568649,27.585638,27.603435,27.622086,27.641639,27.662146,27.683663,27.706249,27.729967,27.754886,27.781076,27.808617,27.837591,27.868087,27.900200,27.934034,27.969698,28.007311,28.047001,28.088904,28.133168,28.179952,28.229428,28.281781,28.337211,28.395934,28.458182,28.524208,28.594284,28.668704,28.747787,28.831877,28.921346,29.016597,29.118063,29.226213,29.341552,29.464624,29.596012,29.736341,29.886277,30.046528,30.217845,30.401011,30.596846,30.806188,31.029890,31.268795,31.523716,31.795403,32.084499,32.391489,32.716630,33.059862,33.420711,33.798163,34.190521,34.595247,35.008798,35.426460,35.842208,36.248622,36.636921,36.997179,37.318876,37.591953,37.808531,37.965230,38.065189,38.117724,38.133617,38.117724,38.065189,37.965230,37.808531,37.591953,37.318876,36.997179,36.636921,36.248622,35.842208,35.426460,35.008798,34.595247,34.190521,33.798163,33.420711,33.059862,32.716630,32.391489,32.084499,31.795403,31.523716,31.268795,31.029890,30.806188,30.596846,30.401011,30.217845,30.046528,29.886277,29.736341,29.596012,29.464624,29.341552,29.226213,29.118063,29.016597,28.921346,28.831877,28.747787,28.668704,28.594284,28.524208,28.458182,28.395934,28.337211,28.281781,28.229428,28.179952,28.133168,28.088904,28.047001,28.007311,27.969698,27.934034,27.900200,27.868087,27.837591,27.808617,27.781076,27.754886,27.729967,27.706249,27.683663,27.662146,27.641639,27.622086,27.603435,27.585638,27.568649,27.552426,27.536927,27.522115,27.507955,27.494413,27.481457,27.469059,27.457189,27.445822,27.434934,27.424499,27.414497,27.404907,27.395708,27.386883,27.378413,27.370282,27.362474,27.354974,27.347768,27.340843,27.334186,27.327784,27.321627,27.315704,27.310003,27.304516,27.299233,27.294146,27.289245
1.0000,27.289395,27.294302,27.299397,27.304688,27.310182,27.315891,27.321824,27.327990,27.334402,27.341070,27.348006,27.355223,27.362736,27.370557,27.378702,27.387186,27.396027,27.405242,27.414850,27.424870,27.435324,27.446234,27.457623,27.469516,27.481939,27.494921,27.508492,27.522682,27.537526,27.553059,27.569319,27.586347,27.604185,27.622880,27.642481,27.663039,27.684610,27.707255,27.731036,27.756021,27.782285,27.809903,27.838961,27.869547,27.901757,27.935696,27.971474,28.009210,28.049032,28.091079,28.135499,28.182453,28.232114,28.284668,28.340316,28.399278,28.461787,28.528097,28.598485,28.673247,28.752705,28.837207,28.927130,29.022879,29.124896,29.233653,29.349664,29.473478,29.605688,29.746926,29.897871,30.059241,30.231798,30.416341,30.613700,30.824732,31.050301,31.291267,31.548456,31.822627,32.114431,32.424349,32.752625,33.099172,33.463462,33.844395,34.240147,34.647996,35.064145,35.483539,35.899717,36.304725,36.689173,37.042520,37.353764,37.612732,37.812155,37.950319,38.033172,38.073466,38.084896,38.073466,38.033172,37.950319,37.812155,37.612732,37.353764,37.042520,36.689173,36.304725,35.899717,35.483539,35.064145,34.647996,34.240147,33.844395,33.463462,33.099172,32.752625,32.424349,32.114431,31.822627,31.548456,31.291267,31.050301,30.824732,30.613700,30.416341,30.231798,30.059241,29.897871,29.746926,29.605688,29.473478,29.349664,29.233653,29.124896,29.022879,28.927130,28.837207,28.752705,28.673247,28.598485,28.528097,28.461787,28.399278,28.340316,28.284668,28.232114,28.182453,28.135499,28.091079,28.049032,28.009210,27.971474,27.935696,27.901757,27.869547,27.838961,27.809903,27.782285,27.756021,27.731036,27.707255,27.684610,27.663039,27.642481,27.622880,27.604185,27.586347,27.569319,27.553059,27.537526,27.522682,27.508492,27.494921,27.481939,27.469516,27.457623,27.446234,27.435324,27.424870,27.414850,27.405242,27.396027,27.387186,27.378702,27.370557,27.362736,27.355223,27.348006,27.341070,27.334402,27.327990,27.321824,27.315891,27.310182,27.304688,27.299397,27.294302,27.289395
